Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
"34390 White Junction Suite 783 Jonesmouth, OH 12772","34390 White Junction Suite 783 Jonesmouth, OH 12772",Dalas,0,34390 White Junction Suite 783,Jonesmouth,OH,12772,SFR,1,0,2.08,1849,0,0,0,1,,2005,1106,2688,Driveway,5,2,,Colonial,1,3,33.826068,-84.099146,Port,6.45
"221 Larry Ports Apt. 590 West Michael, VI 26866","221 Larry Ports Apt. 590 West Michael, VI 26866",Dalas,1,221 Larry Ports Apt. 590,West Michael,VI,26866,Single Family Home,0,0,2.51,321,1,1,1,0,1,1975,3087,7735,Street,4,1,0,Colonial,1,5,38.291542,-95.828946,Flats,3.89
"71909 Garcia Stravenue Apt. 382 Victorfurt, MH 64940","71909 Garcia Stravenue Apt. 382 Victorfurt, MH 64940",Dalas,1,71909 Garcia Stravenue Apt. 382,Victorfurt,MH,64940,SFR,0,1,1.47,1723,0,1,0,1,0,1997,3052,2600,Garage,4,3,,Ranch,1,5,35.391168,-75.998123,Expressway,8.01
"418 Burke Fall Blackland, MD 86596","418 Burke Fall Blackland, MD 86596",Chicago,,418 Burke Fall,Blackland,MD,86596,Townhouse,0,,3.46,944,,,1,,,1990,3119,2820,Driveway,2,4,,Ranch,1,1,33.528034,-105.832693,Stravenue,4.41
"50033 Tran Road North Jacqueline, WA 95907","50033 Tran Road North Jacqueline, WA 95907", ,,50033 Tran Road,North Jacqueline,WA,95907,Single Family Home,,,2.89,734,1,,0,,0,2003,1668,8925,,2,2,0,Split,,5,34.106727,-108.177022,Loaf,4.27
"876 Nichols Roads Lake Pamelaport, RI 98675","876 Nichols Roads Lake Pamelaport, RI 98675", ,1,876 Nichols Roads,Lake Pamelaport,RI,98675,SFR,,1,1.7,434,,,1,1,0,1980,3462,8365,Garage,6,1,0,Ranch,1,1,34.625501,-81.278663,Parkway,4.28
"1487 Dennis Station New Kimberly, AS 75120","1487 Dennis Station New Kimberly, AS 75120",Chicgo,0,1487 Dennis Station,New Kimberly,AS,75120,Duplex,1,0,1.12,1178,1,0,0,1,1,1957,1321,5164,Garage,4,3,,Ranch,0,5,40.569614,-116.201736,Lights,7.78
"18677 Moss Ridge Brownfort, PA 08142","18677 Moss Ridge Brownfort, PA 08142",Chicgo,0,18677 Moss Ridge,Brownfort,PA,8142,Duplex,,,2.98,592,0,0,0,0,0,2024,1450,5021,Driveway,6,1,,Colonial,0,2,38.079021,-75.330178,Shore,8.54
"439 Kimberly Plains Suite 028 North Candice, HI 44222","439 Kimberly Plains Suite 028 North Candice, HI 44222",Chicgo,,439 Kimberly Plains Suite 028,North Candice,HI,44222,Townhouse,,0,2.81,262,1,1,1,1,,1952,3042,7738,,4,3,1,,0,5,40.628908,-117.613738,Court,3.27
"172 Manning Common Lake Elizabethburgh, NJ 76004","172 Manning Common Lake Elizabethburgh, NJ 76004",Dallas,,172 Manning Common,Lake Elizabethburgh,NJ,76004,Duplex,1,0,1.44,765,0,1,1,,,2012,2504,3417,Driveway,6,3,0,Split,0,5,41.416958,-93.452302,Fork,9.15
"06867 Zachary Extensions East Christianview, MI 21544","06867 Zachary Extensions East Christianview, MI 21544",Chicgo,1,06867 Zachary Extensions,East Christianview,MI,21544,Townhouse,,1,3.32,1158,1,1,,0,,1957,1580,9042,Street,1,4,1,Split,,3,40.829838,-76.178948,Points,6.19
"757 George Rapid Ericview, AL 10740","757 George Rapid Ericview, AL 10740", ,,757 George Rapid,Ericview,AL,10740,Single Family Home,1,1,2.53,911,,0,0,0,,2014,2954,4156,Street,4,2,0,,1,1,36.569072,-88.474327,Fields,4.22
"791 Carroll Villages Casehaven, FL 29074","791 Carroll Villages Casehaven, FL 29074",Tampa,,791 Carroll Villages,Casehaven,FL,29074,Duplex,0,1,2.32,905,,0,0,,0,1996,3145,5439,Garage,6,4,0,Colonial,1,4,38.918434,-87.539133,Neck,8.59
"44437 Flores Forks Gardnerberg, CT 30529","44437 Flores Forks Gardnerberg, CT 30529",Tampa,0,44437 Flores Forks,Gardnerberg,CT,30529,SFR,,1,1.69,1697,,1,1,0,,1956,2767,2195,Street,4,3,0,,1,3,36.297513,-81.318258,Mission,8.5
"2329 Jacob Flats South Eric, AK 87851","2329 Jacob Flats South Eric, AK 87851", ,,2329 Jacob Flats,South Eric,AK,87851,Condo,1,,2.65,298,1,,0,0,1,1987,1590,7170,,6,3,,Colonial,1,4,41.469826,-74.907612,Orchard,3.41
"000 Brown Junctions Apt. 128 Jamieberg, CT 70276","000 Brown Junctions Apt. 128 Jamieberg, CT 70276",Atlanta,1,000 Brown Junctions Apt. 128,Jamieberg,CT,70276,Duplex,0,1,1.09,859,0,0,0,1,1,1974,3339,2480,Garage,4,1,0,Split,1,4,37.775005,-85.47268,Mountain,7.84
"466 Katie Ford Kathrynshire, WV 20624","466 Katie Ford Kathrynshire, WV 20624",Atlanta,,466 Katie Ford,Kathrynshire,WV,20624,SFR,1,1,1.9,143,,,1,1,0,1959,1422,4842,Driveway,4,2,1,Ranch,0,1,36.856253,-81.288854,Knolls,3.77
"1966 Laura Port Beltranborough, NY 39395","1966 Laura Port Beltranborough, NY 39395", ,0,1966 Laura Port,Beltranborough,NY,39395,Townhouse,0,0,3.4,61,0,0,0,0,,2013,1974,1480,Garage,3,4,0,Colonial,0,3,35.219101,-115.931134,Villages,3.71
"8949 Jason Plaza Apt. 758 Danaburgh, MN 98727","8949 Jason Plaza Apt. 758 Danaburgh, MN 98727",Chicgo,,8949 Jason Plaza Apt. 758,Danaburgh,MN,98727,Duplex,1,,1.18,555,,1,0,1,0,1979,3130,9876,Driveway,5,1,,Ranch,1,4,36.904541,-77.916062,Station,9.45
"983 Lisa Harbors North Holly, CA 41188","983 Lisa Harbors North Holly, CA 41188", ,1,983 Lisa Harbors,North Holly,CA,41188,SFR,0,,1.8,1993,1,,0,1,1,1997,1502,9906,Driveway,1,3,,Split,1,3,37.202814,-78.718044,Walk,8.78
"4481 Jackson Courts Suite 375 North Joshuaborough, NY 22923","4481 Jackson Courts Suite 375 North Joshuaborough, NY 22923",Florida,,4481 Jackson Courts Suite 375,North Joshuaborough,NY,22923,Duplex,0,1,2.15,711,,1,1,,1,1955,2668,7102,,1,3,0,Colonial,0,3,36.768646,-83.443425,Mountains,8.81
"3967 Nicholas Walk Debbiemouth, MH 13012","3967 Nicholas Walk Debbiemouth, MH 13012",Chicgo,1,3967 Nicholas Walk,Debbiemouth,MH,13012,Duplex,1,1,1.24,1599,1,1,0,0,,2021,889,5056,,5,4,,,1,5,41.410991,-103.557435,Roads,7.52
"7123 Sandra Hill Apt. 630 Gonzalezton, SC 10765","7123 Sandra Hill Apt. 630 Gonzalezton, SC 10765",Tampa,,7123 Sandra Hill Apt. 630,Gonzalezton,SC,10765,Single Family Home,0,,2.64,1336,0,,,1,,2020,2977,7672,Garage,2,3,,Colonial,,2,33.719439,-98.191275,Union,7.31
"19787 Hudson Flats Suite 557 Reyesmouth, MH 70854","19787 Hudson Flats Suite 557 Reyesmouth, MH 70854",Florida,,19787 Hudson Flats Suite 557,Reyesmouth,MH,70854,Condo,1,1,2.17,66,0,,0,,,1987,2068,2620,Driveway,6,2,0,Split,0,1,38.144209,-112.959861,Estate,5.99
"1165 Michael Fords Suite 658 Martinmouth, DC 80005","1165 Michael Fords Suite 658 Martinmouth, DC 80005",Chicago,0,1165 Michael Fords Suite 658,Martinmouth,DC,80005,SFR,,,1.99,932,,,,0,0,1969,2402,3741,,2,4,,Ranch,1,3,41.356501,-107.557848,Plains,5.36
"4564 Johnston Fall Apt. 305 Jessefurt, CO 74599","4564 Johnston Fall Apt. 305 Jessefurt, CO 74599",Florida,1,4564 Johnston Fall Apt. 305,Jessefurt,CO,74599,SFR,1,1,1.89,1066,,0,0,0,0,1952,3113,8874,Driveway,3,4,1,Ranch,1,3,36.459865,-109.431846,Fork,4.98
"063 Jones Turnpike Port Adam, NH 18530","063 Jones Turnpike Port Adam, NH 18530",Dalas,1,063 Jones Turnpike,Port Adam,NH,18530,Duplex,1,0,2.07,693,1,0,0,1,0,1957,1078,7161,Garage,4,4,0,Ranch,0,3,33.246154,-73.879353,Park,7.07
"57902 Carr Port Suite 467 Port Amberview, AK 09637","57902 Carr Port Suite 467 Port Amberview, AK 09637",Atlanta,0,57902 Carr Port Suite 467,Port Amberview,AK,9637,Single Family Home,0,0,1.84,1679,1,0,,,1,1963,2063,9274,Driveway,4,3,1,Colonial,,2,39.386165,-82.494968,Ford,3.57
"4960 Cameron Alley Apt. 946 Gomezview, MN 84914","4960 Cameron Alley Apt. 946 Gomezview, MN 84914",Chicago,1,4960 Cameron Alley Apt. 946,Gomezview,MN,84914,Single Family Home,0,1,1.72,907,,0,1,0,1,2000,2416,9097,,6,1,1,Split,0,1,36.115355,-107.920142,Highway,6.9
"3799 Scott Road North Erinview, AR 36481","3799 Scott Road North Erinview, AR 36481",Atlanta,,3799 Scott Road,North Erinview,AR,36481,SFR,1,1,2.6,768,0,0,,1,1,1964,1456,2735,Driveway,4,4,1,Colonial,1,1,36.630112,-109.916802,Plains,4.59
"7356 Mcdaniel Road Apt. 308 Taylorhaven, KS 53689","7356 Mcdaniel Road Apt. 308 Taylorhaven, KS 53689",Chicgo,1,7356 Mcdaniel Road Apt. 308,Taylorhaven,KS,53689,Townhouse,,1,2.27,315,,0,1,1,0,2018,2597,3263,Garage,6,4,0,Ranch,,1,38.119483,-80.188041,Trace,5.03
"5990 John Burg Michaelfort, NV 64511","5990 John Burg Michaelfort, NV 64511",Florida,,5990 John Burg,Michaelfort,NV,64511,Single Family Home,1,0,1.58,247,0,,,1,0,1955,1698,2224,Driveway,3,2,,Colonial,,4,33.274515,-102.540974,Mall,7.14
"9345 Martinez Extensions South Cynthia, MD 06002","9345 Martinez Extensions South Cynthia, MD 06002",Atlanta,1,9345 Martinez Extensions,South Cynthia,MD,6002,Condo,1,0,2.37,1960,1,0,,0,,2006,2324,8338,Garage,2,4,,,0,2,40.953084,-116.383572,Plains,6.04
"114 Medina Haven Kristyfort, GA 16163","114 Medina Haven Kristyfort, GA 16163",Atlanta,,114 Medina Haven,Kristyfort,GA,16163,Duplex,1,1,1.39,1423,0,0,,0,,1974,2277,2512,Street,3,4,1,Colonial,,3,34.11749,-95.796941,Pines,7.33
"917 Jamie Greens Suite 684 Hollandside, LA 15774","917 Jamie Greens Suite 684 Hollandside, LA 15774",Chicgo,1,917 Jamie Greens Suite 684,Hollandside,LA,15774,Condo,,,3.28,1572,1,0,,,0,2009,2509,2119,,3,4,,,,1,35.748574,-85.135985,Forges,7.89
"1566 Christina Light North Adam, SD 23913","1566 Christina Light North Adam, SD 23913",Dallas,0,1566 Christina Light,North Adam,SD,23913,Condo,1,0,1.74,1519,1,,,1,1,1986,2437,7228,Street,4,4,1,Ranch,0,1,38.536372,-100.457957,Cliff,9.26
"575 Miguel Plaza Sergioshire, NJ 50601","575 Miguel Plaza Sergioshire, NJ 50601",Dallas,,575 Miguel Plaza,Sergioshire,NJ,50601,SFR,1,,1.01,1772,,,,,,1998,2851,8684,,4,3,0,Split,,2,36.741319,-81.99194,Corner,7.91
"319 Christopher Stream Amandaport, GA 57701","319 Christopher Stream Amandaport, GA 57701",Dallas,,319 Christopher Stream,Amandaport,GA,57701,Duplex,0,,1.8,1131,0,0,,0,0,1961,1710,1856,,4,3,0,Colonial,0,4,35.586244,-94.125498,Harbors,3.29
"581 Lutz Crossroad Apt. 797 Sandrabury, UT 65856","581 Lutz Crossroad Apt. 797 Sandrabury, UT 65856",Atlanta,,581 Lutz Crossroad Apt. 797,Sandrabury,UT,65856,SFR,0,1,2.89,962,0,,0,,,2001,1124,8574,,3,4,0,,0,2,38.391661,-74.864081,Flat,4.06
"255 Amber Shores Apt. 025 Ashleymouth, NV 68763","255 Amber Shores Apt. 025 Ashleymouth, NV 68763",Chicgo,1,255 Amber Shores Apt. 025,Ashleymouth,NV,68763,Townhouse,1,,2.55,924,1,1,1,,0,1987,748,1476,,1,1,1,Ranch,1,2,34.922747,-112.391785,Flat,6.32
"19624 Lisa Burg Suite 067 West Elizabeth, WV 47090","19624 Lisa Burg Suite 067 West Elizabeth, WV 47090",Tampa,0,19624 Lisa Burg Suite 067,West Elizabeth,WV,47090,SFR,,,2.78,808,0,,1,0,,2002,1777,3605,Street,4,4,0,Colonial,1,1,40.465592,-100.371839,Parks,8.5
"148 Kevin Ramp South Jon, ID 86421","148 Kevin Ramp South Jon, ID 86421",Chicgo,1,148 Kevin Ramp,South Jon,ID,86421,Townhouse,,0,1.4,206,1,1,1,,,2018,1569,1290,Driveway,1,3,0,Ranch,,5,35.160688,-113.009808,Coves,9.91
"5105 Susan Spur Lake Julie, CO 83410","5105 Susan Spur Lake Julie, CO 83410",Dallas,0,5105 Susan Spur,Lake Julie,CO,83410,Single Family Home,0,1,1.21,227,0,0,,,,2003,1596,3182,Street,3,4,,Split,0,4,41.300648,-117.769512,Lodge,9.41
"760 Ewing Summit East Randy, TN 28335","760 Ewing Summit East Randy, TN 28335",Dallas,1,760 Ewing Summit,East Randy,TN,28335,Townhouse,1,,1.94,906,1,,1,,1,1968,606,3449,Garage,6,2,1,Ranch,0,1,34.762628,-78.072498,Streets,7.21
"416 Mark Plaza Apt. 396 North Richardfort, GU 80123","416 Mark Plaza Apt. 396 North Richardfort, GU 80123",Chicago,,416 Mark Plaza Apt. 396,North Richardfort,GU,80123,Duplex,1,0,2.16,735,0,0,1,0,1,1963,818,5668,,1,1,1,Ranch,,3,36.98201,-80.222436,Ridge,3.47
"56339 John Manors West Angelica, AR 37441","56339 John Manors West Angelica, AR 37441",Chicago,1,56339 John Manors,West Angelica,AR,37441,Duplex,,,2.68,1309,0,1,1,,1,2023,2365,2014,Garage,4,2,0,Ranch,1,2,38.066907,-77.503708,Plaza,8.46
"712 Matthew Shore Apt. 765 Port Nicole, NV 24089","712 Matthew Shore Apt. 765 Port Nicole, NV 24089",Florida,,712 Matthew Shore Apt. 765,Port Nicole,NV,24089,Townhouse,0,,2.53,1739,1,1,1,0,,1975,2328,4827,,5,4,1,Split,,4,34.917215,-80.737822,Wells,3.44
"129 Davis Plaza West Mirandashire, WI 27136","129 Davis Plaza West Mirandashire, WI 27136",Chicago,1,129 Davis Plaza,West Mirandashire,WI,27136,Duplex,,1,1.73,1239,0,1,1,,0,1950,1082,2576,Driveway,3,1,1,Split,0,5,38.217508,-79.745876,Path,9.21
"66044 Jones Track Suite 910 East Jacobmouth, RI 56808","66044 Jones Track Suite 910 East Jacobmouth, RI 56808",Tampa,0,66044 Jones Track Suite 910,East Jacobmouth,RI,56808,Duplex,0,0,1.65,1904,0,0,0,0,1,2010,3191,7027,,1,1,,Colonial,0,1,39.414572,-111.201023,Ramp,8.52
"246 John Orchard Suite 405 East Amandatown, AZ 92747","246 John Orchard Suite 405 East Amandatown, AZ 92747",Chicago,0,246 John Orchard Suite 405,East Amandatown,AZ,92747,Townhouse,1,0,2.39,813,1,1,1,,1,2010,3052,3951,Garage,6,3,0,,0,4,33.808395,-102.430121,Springs,6.12
"476 Melissa Gateway Suite 285 Diazfort, FL 69662","476 Melissa Gateway Suite 285 Diazfort, FL 69662",Florida,0,476 Melissa Gateway Suite 285,Diazfort,FL,69662,Townhouse,0,,1.36,1694,,0,,0,1,1972,3458,7986,,5,3,,Colonial,1,2,38.500873,-105.703329,Valleys,6.69
"6650 Melissa Isle Suite 529 New Carlabury, UT 69237","6650 Melissa Isle Suite 529 New Carlabury, UT 69237",Atlanta,,6650 Melissa Isle Suite 529,New Carlabury,UT,69237,Condo,0,0,1.65,251,0,1,,0,0,2017,882,3681,Driveway,1,2,1,Split,1,5,37.674135,-97.432455,Islands,7.69
"911 Mason Ville Apt. 064 Ayalatown, MA 55007","911 Mason Ville Apt. 064 Ayalatown, MA 55007",Dalas,,911 Mason Ville Apt. 064,Ayalatown,MA,55007,Single Family Home,1,,1.69,1439,,0,1,1,1,1974,1233,2579,Garage,1,2,0,Colonial,,1,35.599692,-94.155716,View,4.58
"901 Rivera Pine Suite 306 South Diana, IL 56436","901 Rivera Pine Suite 306 South Diana, IL 56436",Tampa,1,901 Rivera Pine Suite 306,South Diana,IL,56436,Duplex,,1,1.12,132,,0,0,0,,2022,2607,2952,,1,2,0,Split,,5,33.916386,-89.284815,Roads,5.72
"84616 Shannon Bridge Lake Dana, VA 86241","84616 Shannon Bridge Lake Dana, VA 86241",Dalas,0,84616 Shannon Bridge,Lake Dana,VA,86241,SFR,1,0,2.67,1901,,1,,,1,2016,2875,7695,Garage,1,4,1,Colonial,,3,41.045391,-108.370137,Turnpike,4.44
"2423 Ronnie Glens Apt. 264 Mullinsberg, IA 51335","2423 Ronnie Glens Apt. 264 Mullinsberg, IA 51335",Chicgo,0,2423 Ronnie Glens Apt. 264,Mullinsberg,IA,51335,Duplex,0,0,2.95,1665,,,,,,2017,2295,3495,Driveway,3,2,,Colonial,,1,41.800261,-112.461422,Common,9.25
"529 James Manor Colonmouth, ND 01463","529 James Manor Colonmouth, ND 01463",Chicago,,529 James Manor,Colonmouth,ND,1463,Single Family Home,1,,2.99,600,1,0,,1,0,1971,2172,6012,Street,5,1,1,,,1,36.268966,-112.573535,Flat,8.15
"17503 Janice Manors Moorefurt, ND 17020","17503 Janice Manors Moorefurt, ND 17020",Atlanta,1,17503 Janice Manors,Moorefurt,ND,17020,SFR,0,,1.87,786,1,1,0,0,,1957,1379,7224,Garage,6,3,1,Split,0,4,36.330192,-96.848514,Groves,3.91
"122 Howard Crossroad Williamhaven, ME 33534","122 Howard Crossroad Williamhaven, ME 33534",Chicago,,122 Howard Crossroad,Williamhaven,ME,33534,Townhouse,0,0,1.73,1477,1,1,0,1,,2005,2828,1792,Garage,6,4,1,,0,1,36.285299,-116.883065,Tunnel,6.8
"18336 Patrick Junctions Suite 273 Port Robertport, MS 80448","18336 Patrick Junctions Suite 273 Port Robertport, MS 80448",Chicago,1,18336 Patrick Junctions Suite 273,Port Robertport,MS,80448,Duplex,,1,1.57,1762,,0,0,,,1967,2735,9203,Driveway,4,4,1,Ranch,,3,34.309926,-107.885635,Station,9.36
"344 Thornton Gardens Mcmahonmouth, MA 32658","344 Thornton Gardens Mcmahonmouth, MA 32658", ,,344 Thornton Gardens,Mcmahonmouth,MA,32658,SFR,1,1,1.32,1523,0,,0,,0,1984,2942,8667,Garage,6,2,0,,1,1,39.728688,-103.614936,Lights,5.28
"62327 Zimmerman Lakes Suite 143 Rodneymouth, TN 70364","62327 Zimmerman Lakes Suite 143 Rodneymouth, TN 70364",Chicago,0,62327 Zimmerman Lakes Suite 143,Rodneymouth,TN,70364,Townhouse,,0,3.42,1381,,,,1,1,1989,3139,3303,,5,2,0,Ranch,1,1,37.970655,-101.355552,Place,6.89
"1919 Bryan Cliff Waltersside, OR 25395","1919 Bryan Cliff Waltersside, OR 25395",Florida,,1919 Bryan Cliff,Waltersside,OR,25395,Duplex,1,,2.31,1220,1,0,,1,,1983,2032,1867,Driveway,5,1,1,Colonial,,3,39.864739,-103.383552,Spur,5.9
"46405 Dean Underpass East Danielleland, WA 55578","46405 Dean Underpass East Danielleland, WA 55578",Tampa,,46405 Dean Underpass,East Danielleland,WA,55578,Condo,1,,1.54,1083,1,1,0,0,1,1975,1837,2449,Street,3,3,,Colonial,1,3,40.097745,-108.572554,Wells,5.64
"57613 Fleming Throughway Suite 587 Edwardland, MA 12983","57613 Fleming Throughway Suite 587 Edwardland, MA 12983",Chicgo,,57613 Fleming Throughway Suite 587,Edwardland,MA,12983,Single Family Home,,1,3.31,432,1,,0,,,2017,1597,1877,Driveway,5,1,0,Ranch,,1,34.474907,-114.234574,Road,3.07
"272 Gina Cliffs Suite 479 Kleinberg, GU 53351","272 Gina Cliffs Suite 479 Kleinberg, GU 53351",Chicago,1,272 Gina Cliffs Suite 479,Kleinberg,GU,53351,SFR,1,,2.61,1303,,0,1,1,0,1964,565,5060,,4,1,0,Colonial,,1,34.318508,-78.2682,Forks,9.49
"652 Rodriguez Valleys Apt. 029 Jeremyland, VT 90019","652 Rodriguez Valleys Apt. 029 Jeremyland, VT 90019",Atlanta,1,652 Rodriguez Valleys Apt. 029,Jeremyland,VT,90019,Duplex,1,1,1.8,1032,0,0,1,,1,1960,2552,1357,Garage,5,1,,Split,1,1,37.450541,-115.813193,Way,6.01
"57544 Ashley Cliffs Apt. 732 Port Loribury, PW 99013","57544 Ashley Cliffs Apt. 732 Port Loribury, PW 99013",Dalas,0,57544 Ashley Cliffs Apt. 732,Port Loribury,PW,99013,Duplex,0,1,2.0,1863,,,,,0,1997,963,3836,Garage,2,2,1,Split,0,1,37.358389,-114.060973,Road,9.91
"22933 Stephanie Route Port David, IN 91698","22933 Stephanie Route Port David, IN 91698",Dallas,0,22933 Stephanie Route,Port David,IN,91698,Condo,,,1.89,1449,0,0,1,1,0,1968,2537,5411,Driveway,3,4,,,,1,36.006828,-112.388735,Passage,8.89
"236 James Fields Suite 231 Jameston, IL 59951","236 James Fields Suite 231 Jameston, IL 59951",Florida,0,236 James Fields Suite 231,Jameston,IL,59951,SFR,0,1,2.22,1403,,,,0,1,1971,1663,7553,Street,5,2,0,,1,1,34.536842,-95.759616,Summit,5.49
"60604 Davies Shore Lake Cody, MO 60727","60604 Davies Shore Lake Cody, MO 60727",Dallas,1,60604 Davies Shore,Lake Cody,MO,60727,Townhouse,,0,2.45,262,0,,,1,0,1952,1565,4598,,2,4,1,Split,,4,40.286255,-75.59294,Mall,5.45
"903 Phillip Locks Apt. 678 Jessicaburgh, KS 58076","903 Phillip Locks Apt. 678 Jessicaburgh, KS 58076",Chicgo,,903 Phillip Locks Apt. 678,Jessicaburgh,KS,58076,SFR,0,,1.56,301,0,0,1,1,,1988,955,4162,Driveway,1,2,1,Split,1,3,33.110826,-94.062187,Flat,6.48
"8699 Michael Isle Suite 205 Lake David, AL 62264","8699 Michael Isle Suite 205 Lake David, AL 62264",Atlanta,,8699 Michael Isle Suite 205,Lake David,AL,62264,Townhouse,1,1,1.59,547,1,0,0,0,,1998,3389,9143,,5,3,0,Split,1,3,33.113573,-79.631528,Tunnel,5.59
"7105 John Locks Apt. 329 East Crystal, IN 21568","7105 John Locks Apt. 329 East Crystal, IN 21568",Dalas,0,7105 John Locks Apt. 329,East Crystal,IN,21568,Duplex,1,1,3.33,214,1,,1,0,1,2018,919,2485,Driveway,2,2,1,Colonial,1,1,39.319271,-85.497813,Row,6.29
"3969 Kristy Stream Lake Jasonhaven, UT 81188","3969 Kristy Stream Lake Jasonhaven, UT 81188",Florida,,3969 Kristy Stream,Lake Jasonhaven,UT,81188,Townhouse,,1,2.04,961,1,1,1,,0,1999,1943,3576,Driveway,6,4,,Ranch,,4,40.624705,-104.79048,Summit,8.03
"593 Norman Path Apt. 517 West Bethany, ND 47196","593 Norman Path Apt. 517 West Bethany, ND 47196",Dalas,0,593 Norman Path Apt. 517,West Bethany,ND,47196,Single Family Home,1,1,2.76,1438,0,,1,,0,2001,1945,6948,Driveway,3,3,0,Split,1,2,37.723406,-76.211663,Flats,8.01
"6386 Brandon Common Vegaside, SC 69263","6386 Brandon Common Vegaside, SC 69263", ,0,6386 Brandon Common,Vegaside,SC,69263,SFR,0,1,1.56,1416,,1,1,,0,2002,2254,3257,Street,2,2,,Split,,2,33.43968,-117.951383,Knoll,7.54
"137 Denise Squares Suite 633 Carlaside, CO 34657","137 Denise Squares Suite 633 Carlaside, CO 34657",Atlanta,0,137 Denise Squares Suite 633,Carlaside,CO,34657,Single Family Home,1,0,2.87,404,,1,0,0,0,1970,3302,8779,Street,6,2,0,Split,0,2,33.619063,-84.682508,Mall,7.38
"972 Rebecca Fort Port Bryce, VT 38354","972 Rebecca Fort Port Bryce, VT 38354",Atlanta,,972 Rebecca Fort,Port Bryce,VT,38354,Townhouse,0,,3.43,1928,,,0,0,,1962,1660,5553,,4,1,,,,3,36.317504,-85.161447,Spring,7.38
"5984 Montoya Bypass New Joshuahaven, WY 67661","5984 Montoya Bypass New Joshuahaven, WY 67661",Atlanta,1,5984 Montoya Bypass,New Joshuahaven,WY,67661,SFR,1,0,1.2,1909,,,0,0,1,1962,3004,1761,Street,4,4,1,,1,4,33.286097,-113.377132,Loop,7.4
"0630 Madison Bypass Suite 030 Grayland, DC 80722","0630 Madison Bypass Suite 030 Grayland, DC 80722",Atlanta,1,0630 Madison Bypass Suite 030,Grayland,DC,80722,Townhouse,0,,2.87,1361,1,,0,,0,1970,1162,7383,,2,1,0,Ranch,0,2,39.877473,-93.642671,Estates,6.3
"47453 Pamela Road South Jason, PW 93740","47453 Pamela Road South Jason, PW 93740",Tampa,1,47453 Pamela Road,South Jason,PW,93740,SFR,,,3.05,1870,,,1,0,1,1956,2660,4777,Garage,5,4,0,Ranch,,3,39.468254,-110.422373,Spur,7.97
"6713 Brandon Manor Gravesmouth, AL 23102","6713 Brandon Manor Gravesmouth, AL 23102",Florida,0,6713 Brandon Manor,Gravesmouth,AL,23102,Condo,,0,3.09,1650,1,,1,,1,1952,2243,7449,Driveway,3,1,1,Split,1,4,39.775231,-112.686508,Loaf,9.02
"43252 Green Springs Apt. 266 Port Jeffreybury, MD 80679","43252 Green Springs Apt. 266 Port Jeffreybury, MD 80679",Atlanta,,43252 Green Springs Apt. 266,Port Jeffreybury,MD,80679,SFR,1,1,1.48,554,1,0,,0,0,1974,1102,4300,,5,3,0,Split,,4,40.427627,-89.663537,Ridge,8.88
"58084 Anne Center North Donnastad, CT 37078","58084 Anne Center North Donnastad, CT 37078",Chicgo,,58084 Anne Center,North Donnastad,CT,37078,Single Family Home,,,2.14,58,,0,,,1,1973,3002,8327,Garage,3,1,0,Split,,3,35.166151,-114.8322,Green,9.28
"2929 Garcia Haven Grahamberg, MN 47746","2929 Garcia Haven Grahamberg, MN 47746",Dallas,,2929 Garcia Haven,Grahamberg,MN,47746,Condo,0,0,3.07,777,1,1,1,0,1,1994,848,2265,Street,2,3,,Colonial,0,2,34.860899,-108.047973,Lock,8.45
"3847 Bradshaw Motorway Apt. 829 Crystalberg, FL 27236","3847 Bradshaw Motorway Apt. 829 Crystalberg, FL 27236",Atlanta,1,3847 Bradshaw Motorway Apt. 829,Crystalberg,FL,27236,Condo,,0,2.08,945,0,,1,0,0,1955,3053,8293,Garage,1,2,,,,2,40.126769,-105.440623,Extension,8.53
"955 Laurie Field South Tammy, VA 45237","955 Laurie Field South Tammy, VA 45237",Dalas,1,955 Laurie Field,South Tammy,VA,45237,Townhouse,0,1,2.73,858,1,,,0,0,2018,1382,2868,,1,2,,Split,1,3,39.723039,-78.810393,Road,4.02
"17890 Andrea Ports West Kevinville, IL 01127","17890 Andrea Ports West Kevinville, IL 01127", ,1,17890 Andrea Ports,West Kevinville,IL,1127,Townhouse,,0,3.39,318,1,1,1,,,2024,1845,2224,Street,5,2,,Colonial,,2,34.96105,-80.635913,Roads,8.75
"031 Cross Forks Hernandezfurt, PW 78009","031 Cross Forks Hernandezfurt, PW 78009",Chicago,1,031 Cross Forks,Hernandezfurt,PW,78009,Single Family Home,,1,1.73,256,0,1,,,,2023,1942,2560,Driveway,3,4,,Colonial,0,5,41.07232,-114.757555,Lodge,9.43
"107 Kevin Knoll Suite 552 Lake Teresaside, FM 85561","107 Kevin Knoll Suite 552 Lake Teresaside, FM 85561",Dalas,0,107 Kevin Knoll Suite 552,Lake Teresaside,FM,85561,Duplex,1,,1.39,482,,1,1,0,0,1978,1755,8257,Garage,4,2,1,Ranch,1,1,36.983704,-86.852141,Hills,7.64
