Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer
 ,Closed,Internal,No,4.1,6.77,Job Transfer,No,Jessica Lin
Reviewed,Cancelled,Internal,,11.25,17.12,,Yes,Luis Garcia
Reviewed,Closed,Auction.com,Yes,6.88,14.27,Downsizing,Yes,Jessica Lin
Reviewed,Cancelled,M L S,,7.2,13.45,,Yes,Michael Chen
Closed, ,Broker,,8.91,6.17,Job Transfer,,Michael Chen
Cancelled,Cancelled,Auction.com,No,9.14,15.55,Downsizing,,Jessica Lin
Reviewed,Null,Broker,No,3.37,15.13,,No,Sophia Williams
Null,Available,Auction.com,No,11.69,17.56,Investor Sale,,Samantha Pierce
Cancelled, ,Auction.com,,11.56,7.66,Downsizing,,Samantha Pierce
Closed,Available,Bulk,Yes,7.52,15.66,Job Transfer,,Priya Sharma
Reviewed,Always Kick,Internal,No,4.59,19.73,Downsizing,No,David Thompson
 ,Pend,Internal,,7.0,15.74,Investor Sale,Yes,Luis Garcia
Cancelled,Always Kick,MLS,Yes,9.19,10.07,,No,Jessica Lin
 ,Always Kick,Internal,Yes,3.96,16.5,Investor Sale,No,Michael Chen
Accepted Offer,Closed,MLS,,6.69,16.4,Job Transfer,No,Jessica Lin
Closed,Null,MLS,No,6.07,9.69,,,David Thompson
Null,Pending,Auction.com,Yes,8.72,14.77,Downsizing,,Samantha Pierce
Closed,Close,Internal,Yes,5.45,14.05,,No,Luis Garcia
New,Closed,MLS,No,8.88,12.63,Job Transfer,Yes,Emily Patel
Reviewed,Pend,M L S,No,3.86,15.24,Downsizing,,Jason Miller
Closed,Null,Broker,No,8.79,5.48,Investor Sale,No,David Thompson
Closed,Closed,Broker,,7.37,14.5,Investor Sale,Yes,Amit Kumar
Reviewed,Null,Bulk,No,10.09,11.04,Downsizing,No,Priya Sharma
Closed,Available,Internal,Yes,5.38,16.99,Downsizing,,Michael Chen
Reviewed,Pending,Bulk,No,8.14,12.06,Job Transfer,,Sophia Williams
Reviewed,Available,MLS,No,4.39,12.58,Investor Sale,Yes,Jason Miller
Null,Pend,Internal,,9.95,10.73,Job Transfer,,Jessica Lin
Cancelled,Kick,MLS,Yes,9.95,13.68,Investor Sale,No,Luis Garcia
Offered,Close,M L S,No,8.69,19.97,Downsizing,,Jason Miller
Closed,Closed,MLS,Yes,10.46,14.95,Job Transfer,No,Luis Garcia
New,Available,MLS,,3.92,10.61,Job Transfer,Yes,Jessica Lin
Offered,Close,Internal,No,5.58,17.39,,,Amit Kumar
Cancelled,Closed,Broker,,11.82,6.98,,Yes,Priya Sharma
Offered,Closed,Auction.com,Yes,9.57,15.51,,,Jason Miller
Accepted Offer,Pend,Auction.com,Yes,8.14,10.92,Investor Sale,,David Thompson
Null,Null,Internal,Yes,4.72,11.35,Downsizing,,Emily Patel
Accepted Offer,Pending,MLS,,8.63,19.34,Downsizing,Yes,Jason Miller
Reviewed,Close,Bulk,,8.39,5.02,,Yes,Luis Garcia
Offered,Pend,MLS,No,11.17,9.15,Downsizing,,David Thompson
Accepted Offer,Pend,M L S,No,3.02,11.56,Job Transfer,Yes,Amit Kumar
Offered, ,Bulk,,8.0,19.57,Job Transfer,No,Jason Miller
Closed,Closed,M L S,Yes,4.24,6.89,Investor Sale,,Amit Kumar
Null,Closed,Internal,Yes,8.23,19.99,,No,Samantha Pierce
Offered,Cancelled,M L S,,11.38,9.17,Investor Sale,No,Sophia Williams
Closed,Available,M L S,,4.19,6.75,Investor Sale,No,Luis Garcia
 ,Cancelled,Auction.com,Yes,10.6,9.91,Downsizing,Yes,Luis Garcia
Closed,Always Kick,Auction.com,No,11.62,14.15,,No,Michael Chen
New,Always Kick,MLS,Yes,9.01,17.02,,,Michael Chen
 ,Kick,Bulk,Yes,6.76,10.82,Downsizing,Yes,Sophia Williams
Null, ,Auction.com,No,11.25,6.16,Investor Sale,Yes,Jason Miller
Offered,Pend,Broker,Yes,10.33,8.32,Job Transfer,No,Priya Sharma
Closed,Available,Bulk,Yes,3.49,7.81,,No,Luis Garcia
Cancelled,Always Kick,Auction.com,,4.61,19.09,Investor Sale,No,Samantha Pierce
Closed,Available,MLS,Yes,8.07,17.31,Job Transfer,Yes,David Thompson
Cancelled,Pending,MLS,No,10.24,5.65,,Yes,Jessica Lin
 ,Cancelled,MLS,,3.73,19.11,Investor Sale,Yes,Jessica Lin
Reviewed,Close,Internal,No,7.06,17.35,Downsizing,No,Jessica Lin
Offered,Null,MLS,No,4.29,13.27,,,Sophia Williams
New,Cancelled,Internal,No,4.46,19.85,,No,Samantha Pierce
Reviewed,Closed,MLS,Yes,4.97,16.76,Job Transfer,No,Jason Miller
Accepted Offer,Always Kick,MLS,Yes,11.68,7.5,Investor Sale,Yes,Jason Miller
Closed,Cancelled,Bulk,No,10.88,8.41,Downsizing,Yes,David Thompson
Cancelled,Pending,M L S,,11.34,12.2,Downsizing,,Amit Kumar
Closed,Cancelled,MLS,No,7.66,12.43,Job Transfer,,Jason Miller
Offered,Always Kick,Broker,No,3.96,7.36,Job Transfer,,Amit Kumar
Reviewed,Always Kick,M L S,No,10.57,11.08,Job Transfer,Yes,Amit Kumar
New, ,Bulk,No,4.15,14.62,Downsizing,,David Thompson
Null,Null,MLS,,10.27,5.83,Job Transfer,,Priya Sharma
Cancelled,Pend,M L S,Yes,3.34,6.26,,No,Samantha Pierce
Offered,Always Kick,Bulk,No,8.87,18.83,Job Transfer,No,Luis Garcia
 ,Closed,Bulk,,6.88,19.93,Downsizing,,David Thompson
Null,Cancelled,Auction.com,,4.66,17.65,Investor Sale,No,Luis Garcia
New,Pending,Auction.com,No,4.61,6.59,Job Transfer,Yes,Amit Kumar
Closed,Pending,Internal,No,7.52,17.44,,Yes,Samantha Pierce
Closed,Pend,M L S,Yes,9.58,5.54,,,Emily Patel
New,Null,MLS,No,3.89,19.85,Investor Sale,Yes,Michael Chen
Cancelled,Kick,Broker,,9.48,5.71,,Yes,Sophia Williams
 ,Pend,Bulk,Yes,10.96,10.39,Job Transfer,Yes,Jessica Lin
Accepted Offer,Available,Broker,No,5.88,8.79,Downsizing,,Jason Miller
Accepted Offer,Closed,Bulk,No,11.45,18.15,Job Transfer,Yes,Samantha Pierce
Null,Close,MLS,Yes,9.48,13.87,Downsizing,Yes,Amit Kumar
 , ,Broker,,9.29,19.1,Job Transfer,No,Michael Chen
 ,Cancelled,MLS,No,4.22,14.47,Downsizing,No,Luis Garcia
Cancelled,Available,Internal,,4.66,17.81,Downsizing,No,Jessica Lin
Null,Cancelled,MLS,No,4.15,10.34,,No,Sophia Williams
 ,Pend,Opendoor,Yes,3.07,9.37,Job Transfer,,Luis Garcia
Accepted Offer,Pending,Auction.com,Yes,4.53,13.32,Investor Sale,No,Jason Miller
 ,Available,Auction.com,No,8.98,13.96,Job Transfer,Yes,Jessica Lin
Closed,Null,MLS,No,9.87,16.66,Investor Sale,Yes,Amit Kumar
Offered,Pend,Auction.com,Yes,8.1,8.83,Job Transfer,Yes,Amit Kumar
Cancelled,Close,Broker,,9.78,9.54,Job Transfer,Yes,Jason Miller
Cancelled,Kick,Internal,,11.1,7.43,Downsizing,,Michael Chen
Null,Cancelled,Bulk,Yes,9.47,17.03,Downsizing,,Jason Miller
Cancelled,Always Kick,MLS,,4.61,8.03,Investor Sale,Yes,Samantha Pierce
New, ,Opendoor,,5.5,5.92,Downsizing,No,Amit Kumar
Reviewed, ,Bulk,,8.29,10.56,Job Transfer,Yes,Samantha Pierce
 ,Closed,Internal,,5.28,14.01,,Yes,Emily Patel
New,Kick,Bulk,No,5.6,18.69,Downsizing,Yes,Jason Miller
Closed,Available,Auction.com,Yes,10.29,6.73,Downsizing,,Sophia Williams
Accepted Offer,Kick,Bulk,,5.66,12.35,Downsizing,,Samantha Pierce
 ,Pending,MLS,No,7.32,18.43,Job Transfer,No,Samantha Pierce
Closed,Close,Auction.com,Yes,9.3,15.19,,,Samantha Pierce
Closed,Cancelled,MLS,Yes,6.11,18.11,Job Transfer,No,Priya Sharma
New,Always Kick,Opendoor,,10.05,6.1,Investor Sale,No,Jessica Lin
Null,Close,MLS,No,9.16,10.99,,Yes,Michael Chen
Reviewed,Available,Bulk,Yes,4.61,8.68,Job Transfer,,Michael Chen
Accepted Offer,Kick,Auction.com,Yes,6.71,17.33,,,Samantha Pierce
Null,Pending,Bulk,Yes,4.6,13.76,Downsizing,No,David Thompson
New,Kick,Broker,No,7.46,10.29,Downsizing,,Michael Chen
Accepted Offer,Closed,MLS,No,9.35,18.23,Downsizing,,Luis Garcia
 ,Always Kick,Opendoor,,5.42,5.07,,No,David Thompson
New,Cancelled,Internal,Yes,7.22,16.75,Downsizing,,Jason Miller
Accepted Offer,Pending,Auction.com,No,5.86,19.42,Investor Sale,Yes,Emily Patel
New,Always Kick,Opendoor,,7.96,7.31,Investor Sale,No,Samantha Pierce
 ,Kick,Opendoor,Yes,4.63,15.6,,Yes,Samantha Pierce
New,Cancelled,Broker,,3.8,8.54,Job Transfer,,Priya Sharma
Closed,Available,Broker,,3.39,9.15,Investor Sale,No,Priya Sharma
Reviewed, ,Auction.com,,10.0,19.54,Downsizing,Yes,Sophia Williams
Cancelled,Null,Broker,No,6.64,7.22,,Yes,David Thompson
Reviewed,Pending,Internal,Yes,8.71,12.95,Investor Sale,,Sophia Williams
Accepted Offer,Close,MLS,,11.06,14.75,Downsizing,No,Michael Chen
Reviewed,Pend,Internal,,7.32,6.78,Downsizing,No,Samantha Pierce
Offered,Cancelled,MLS,No,7.72,18.21,,No,Emily Patel
Accepted Offer, ,Auction.com,,5.8,5.03,,,Priya Sharma
 ,Always Kick,Broker,,5.01,13.78,,No,Emily Patel
Accepted Offer,Cancelled,Bulk,No,10.85,19.68,Investor Sale,,Samantha Pierce
Reviewed,Kick,Auction.com,No,10.14,11.01,Investor Sale,Yes,Jason Miller
Offered,Available,Internal,Yes,8.45,12.49,Job Transfer,No,Sophia Williams
Null,Kick,Internal,Yes,4.2,15.73,Job Transfer,No,Jason Miller
Cancelled,Close,Broker,,5.33,12.84,Downsizing,No,Samantha Pierce
Closed,Close,Bulk,Yes,4.47,6.36,,,Jason Miller
Closed,Close,MLS,Yes,4.73,7.63,Downsizing,No,Luis Garcia
Closed,Available,Opendoor,,5.9,11.93,Job Transfer,No,Emily Patel
Accepted Offer,Null,Opendoor,No,9.16,9.06,Downsizing,,Luis Garcia
Offered,Pend,Internal,,6.1,11.2,Job Transfer,Yes,Jason Miller
Cancelled,Closed,Opendoor,,5.21,16.37,Downsizing,,Luis Garcia
 ,Cancelled,Opendoor,No,8.98,16.44,Job Transfer,Yes,David Thompson
 , ,Internal,Yes,3.99,5.33,Downsizing,,Sophia Williams
Offered,Close,M L S,No,9.24,11.21,Downsizing,,Sophia Williams
New,Closed,Bulk,,10.73,7.19,Investor Sale,Yes,Samantha Pierce
Reviewed,Close,Internal,Yes,3.43,14.64,Job Transfer,,Luis Garcia
 ,Always Kick,Broker,Yes,5.14,20.0,Investor Sale,Yes,Luis Garcia
Reviewed,Pending,Internal,,7.88,14.4,Downsizing,No,Jessica Lin
Offered,Close,Internal,No,5.67,6.3,Downsizing,Yes,Amit Kumar
Cancelled,Closed,Bulk,Yes,5.1,19.36,,Yes,Michael Chen
Null,Pend,Internal,,10.98,12.68,Investor Sale,No,Amit Kumar
Closed,Pend,M L S,,9.0,16.87,Investor Sale,No,Sophia Williams
Null,Cancelled,MLS,,5.56,16.97,Job Transfer,No,Jason Miller
Closed,Always Kick,Opendoor,Yes,9.01,14.29,Job Transfer,Yes,Jason Miller
Null,Kick,Internal,No,6.91,6.7,Job Transfer,No,David Thompson
Offered,Pending,Internal,No,10.2,11.95,,No,Jason Miller
Offered,Cancelled,Opendoor,,10.87,14.62,,No,Samantha Pierce
Cancelled,Pend,Bulk,No,8.63,19.64,Investor Sale,,Jessica Lin
Null,Null,Auction.com,Yes,9.84,7.41,Investor Sale,No,Jessica Lin
Accepted Offer,Closed,Broker,Yes,9.98,16.44,,,Luis Garcia
Cancelled,Available,M L S,No,8.55,15.42,Downsizing,Yes,Emily Patel
 ,Always Kick,Broker,,9.83,7.26,Downsizing,No,David Thompson
Offered,Always Kick,MLS,Yes,4.85,15.13,Investor Sale,No,Samantha Pierce
Reviewed, ,Bulk,Yes,11.72,18.08,,Yes,David Thompson
Reviewed,Close,MLS,,11.7,8.97,Job Transfer,Yes,Luis Garcia
New,Pending,Opendoor,No,7.48,18.89,Investor Sale,Yes,Priya Sharma
Closed,Always Kick,M L S,No,6.73,6.4,Investor Sale,Yes,David Thompson
New, ,MLS,No,9.82,9.58,Job Transfer,,David Thompson
 ,Cancelled,MLS,Yes,10.58,8.14,Investor Sale,Yes,Jason Miller
New,Available,Bulk,,10.88,14.76,,Yes,Luis Garcia
Accepted Offer,Pend,Auction.com,Yes,6.01,11.88,,Yes,Priya Sharma
 ,Kick,Broker,Yes,8.26,10.32,,No,Sophia Williams
Accepted Offer,Null,MLS,,4.27,6.76,,Yes,Michael Chen
Null,Available,Opendoor,,10.63,10.63,Job Transfer,No,Amit Kumar
Cancelled,Cancelled,Internal,,4.66,7.66,,Yes,Sophia Williams
Closed,Cancelled,MLS,,8.67,6.98,Downsizing,Yes,Emily Patel
Accepted Offer,Closed,Broker,Yes,3.96,15.42,Job Transfer,,David Thompson
New,Close,Broker,,9.05,6.82,Investor Sale,,Emily Patel
New,Null,Auction.com,Yes,5.43,17.59,,No,Samantha Pierce
Reviewed,Available,Opendoor,,10.48,16.87,,Yes,Jessica Lin
New,Available,Bulk,No,9.02,16.0,Job Transfer,,Michael Chen
Closed, ,MLS,Yes,8.89,17.35,,,Sophia Williams
Accepted Offer,Available,Internal,Yes,3.36,17.32,Downsizing,Yes,Priya Sharma
Closed,Always Kick,M L S,No,6.72,6.43,Job Transfer,,Jessica Lin
Null,Always Kick,MLS,Yes,5.38,17.29,Downsizing,Yes,Sophia Williams
Offered,Always Kick,MLS,No,4.94,12.38,Job Transfer,Yes,Priya Sharma
New,Closed,Auction.com,No,9.01,19.5,Investor Sale,,Samantha Pierce
Closed,Close,M L S,No,9.85,6.56,Job Transfer,No,Emily Patel
Offered,Close,MLS,Yes,4.35,7.47,Downsizing,No,Michael Chen
Closed,Kick,M L S,Yes,5.43,18.03,Investor Sale,Yes,Luis Garcia
Cancelled,Close,MLS,No,7.53,8.94,Investor Sale,Yes,Priya Sharma
Offered,Pending,Opendoor,,5.33,16.23,Job Transfer,,Jessica Lin
 ,Null,M L S,,11.87,8.83,Investor Sale,Yes,Sophia Williams
Offered,Pend,Bulk,No,6.71,12.82,Job Transfer,No,Sophia Williams
Null,Closed,Broker,,8.69,16.96,Investor Sale,,David Thompson
Null,Always Kick,Broker,No,8.71,6.63,Investor Sale,No,Sophia Williams
Reviewed,Closed,MLS,Yes,11.1,12.3,,Yes,Jason Miller
New,Pending,Bulk,Yes,9.78,6.9,Job Transfer,,Luis Garcia
Closed,Always Kick,Broker,Yes,4.24,14.29,Investor Sale,No,Sophia Williams
Closed,Pend,M L S,Yes,3.55,6.47,Investor Sale,Yes,Luis Garcia
New,Pend,Broker,,4.67,18.2,,,Jason Miller
Null,Kick,Opendoor,Yes,7.25,5.98,Downsizing,No,Amit Kumar
 ,Pending,MLS,Yes,8.34,19.01,,,Michael Chen
Closed,Cancelled,Internal,Yes,6.86,13.47,Investor Sale,,Priya Sharma
Reviewed,Pend,MLS,No,11.46,14.31,Job Transfer,,Priya Sharma
Reviewed,Kick,Bulk,No,6.96,5.14,Downsizing,,Samantha Pierce
Null,Pending,Internal,Yes,5.12,18.87,Investor Sale,,Michael Chen
Null,Close,MLS,,7.64,5.24,,,Samantha Pierce
Null,Always Kick,Opendoor,,11.36,18.74,Job Transfer,Yes,Jessica Lin
Offered,Closed,MLS,No,10.16,19.11,Downsizing,,Priya Sharma
 ,Close,MLS,Yes,7.32,18.31,Downsizing,,David Thompson
Closed,Null,Broker,Yes,8.97,5.56,,,Jessica Lin
Offered,Pend,Auction.com,Yes,11.32,14.89,Downsizing,No,Amit Kumar
Offered, ,MLS,No,5.79,14.08,Downsizing,,Emily Patel
Null,Close,Opendoor,No,9.66,15.52,Downsizing,Yes,David Thompson
Cancelled, ,Bulk,No,4.79,5.13,Job Transfer,Yes,Michael Chen
Accepted Offer,Available,Internal,,9.83,5.3,Job Transfer,No,Michael Chen
Reviewed,Null,Internal,Yes,11.61,11.92,,,Amit Kumar
Accepted Offer,Closed,M L S,Yes,5.77,14.56,Investor Sale,,Jason Miller
Offered,Close,MLS,,10.09,7.22,Downsizing,No,Emily Patel
Accepted Offer,Pending,Bulk,No,11.83,5.52,Job Transfer,No,Sophia Williams
Accepted Offer, ,MLS,,11.77,15.0,Downsizing,No,Samantha Pierce
Closed,Available,M L S,No,8.25,19.43,Job Transfer,Yes,Amit Kumar
New, ,Internal,,7.35,10.69,Investor Sale,No,Michael Chen
Accepted Offer,Pend,Internal,No,6.95,7.37,Job Transfer,,Luis Garcia
Reviewed,Pend,Bulk,No,4.2,17.11,Job Transfer,,Amit Kumar
Null,Kick,MLS,No,7.62,16.85,Downsizing,,Samantha Pierce
New,Cancelled,Broker,Yes,9.38,12.96,Job Transfer,,Emily Patel
Cancelled,Always Kick,MLS,No,7.87,18.81,Downsizing,No,Jessica Lin
New,Null,MLS,Yes,10.39,10.63,,No,Jessica Lin
Null,Cancelled,Auction.com,Yes,8.62,9.87,Job Transfer,Yes,Amit Kumar
Closed,Close,MLS,No,4.55,5.24,Investor Sale,Yes,Priya Sharma
Null,Kick,Internal,No,10.23,18.6,Job Transfer,No,Michael Chen
Null,Closed,Auction.com,No,5.09,12.08,Investor Sale,No,Jessica Lin
Accepted Offer,Null,Bulk,Yes,7.54,12.01,,No,Jason Miller
Cancelled,Kick,Auction.com,,9.13,6.31,Investor Sale,Yes,Jason Miller
 ,Pend,Auction.com,Yes,10.45,13.23,,,Jessica Lin
Closed,Available,MLS,,4.19,13.54,,Yes,Jessica Lin
Reviewed,Kick,Internal,Yes,10.65,16.9,Downsizing,No,David Thompson
Reviewed,Closed,Auction.com,,8.98,11.98,Job Transfer,,Amit Kumar
New,Pending,Bulk,Yes,9.43,12.41,Job Transfer,,Amit Kumar
Cancelled,Pending,MLS,,7.61,6.85,Investor Sale,Yes,Michael Chen
Cancelled,Pend,M L S,,6.6,8.61,Job Transfer,No,Luis Garcia
Closed,Available,Opendoor,No,6.23,15.78,,,Jason Miller
Null,Available,Internal,No,11.99,6.52,,No,Samantha Pierce
Closed,Null,Internal,No,11.69,8.0,Job Transfer,,Priya Sharma
Reviewed,Closed,Bulk,Yes,11.1,5.51,Job Transfer,No,Michael Chen
Accepted Offer,Always Kick,M L S,Yes,10.29,6.6,Investor Sale,No,Michael Chen
Closed,Pending,Auction.com,No,3.78,18.47,Job Transfer,,Emily Patel
 ,Null,Bulk,No,7.99,15.56,Investor Sale,No,Jason Miller
Null,Close,Auction.com,No,7.15,9.49,Downsizing,,Samantha Pierce
Closed,Close,Broker,,8.42,5.61,Investor Sale,,David Thompson
Closed,Available,MLS,No,10.5,15.06,Investor Sale,,Michael Chen
Reviewed,Kick,Auction.com,,6.71,8.23,Downsizing,Yes,David Thompson
Cancelled,Cancelled,MLS,Yes,3.41,13.32,,Yes,Priya Sharma
Offered,Null,Bulk,No,10.77,19.08,Investor Sale,Yes,Samantha Pierce
Cancelled,Null,Internal,,9.69,7.8,Downsizing,,Jessica Lin
 , ,M L S,Yes,5.83,10.91,Investor Sale,,Sophia Williams
Accepted Offer, ,Bulk,,7.66,10.54,Job Transfer,,Samantha Pierce
Null,Available,Auction.com,No,4.57,8.02,Job Transfer,Yes,Sophia Williams
 ,Closed,Opendoor,No,4.02,6.86,Investor Sale,Yes,Samantha Pierce
Null,Always Kick,Bulk,,8.68,10.2,Job Transfer,,Emily Patel
New,Close,MLS,,10.12,9.82,Downsizing,,Priya Sharma
New,Close,Internal,No,7.09,18.01,Downsizing,,Sophia Williams
Cancelled,Pend,MLS,No,9.4,11.6,Downsizing,,Sophia Williams
New, ,M L S,No,4.62,6.88,,Yes,Amit Kumar
Cancelled,Cancelled,Bulk,Yes,9.16,19.54,Downsizing,No,Sophia Williams
New,Null,Bulk,No,10.27,6.18,,Yes,Luis Garcia
Accepted Offer,Always Kick,MLS,,10.63,9.74,Downsizing,Yes,Priya Sharma
Cancelled,Close,Bulk,,7.31,17.64,Investor Sale,No,Emily Patel
New,Closed,Bulk,,8.23,11.05,Downsizing,No,Michael Chen
Null,Close,MLS,No,5.91,8.0,,,Priya Sharma
 ,Close,MLS,,5.26,13.12,Downsizing,No,Amit Kumar
Null,Close,Auction.com,No,6.7,14.71,Job Transfer,Yes,Sophia Williams
 ,Cancelled,M L S,Yes,11.56,17.15,Downsizing,,Jason Miller
Null,Null,Auction.com,Yes,10.11,12.09,Downsizing,Yes,Michael Chen
 ,Available,M L S,Yes,5.95,10.9,Investor Sale,,Jason Miller
Cancelled,Null,Internal,No,3.67,5.71,Job Transfer,,Jason Miller
Closed,Kick,Auction.com,Yes,11.99,16.48,,,Jessica Lin
New,Pend,Broker,No,7.61,6.02,,,Jason Miller
Reviewed,Close,M L S,Yes,11.07,13.67,Job Transfer,No,Jason Miller
 ,Null,MLS,Yes,10.99,7.83,Investor Sale,,Emily Patel
Reviewed,Pending,Broker,No,11.68,13.3,,No,Jessica Lin
Offered,Pend,Auction.com,,10.56,9.75,Job Transfer,,Amit Kumar
Offered,Close,Auction.com,,10.94,6.95,Investor Sale,,Amit Kumar
Cancelled,Kick,Internal,Yes,4.68,5.66,Downsizing,No,Priya Sharma
Offered,Null,Bulk,Yes,5.16,18.31,,Yes,Luis Garcia
Null,Cancelled,Internal,Yes,8.1,19.0,Downsizing,Yes,Samantha Pierce
Accepted Offer,Closed,Bulk,No,10.92,13.53,,Yes,Sophia Williams
New,Available,Bulk,Yes,7.66,19.82,Downsizing,No,David Thompson
Accepted Offer,Cancelled,Internal,No,7.07,14.04,Investor Sale,Yes,Michael Chen
New,Cancelled,Broker,No,5.11,5.6,Job Transfer,,Sophia Williams
Reviewed,Null,MLS,Yes,9.86,8.5,Job Transfer,Yes,Samantha Pierce
Closed,Available,MLS,No,3.8,9.16,Investor Sale,Yes,Luis Garcia
Cancelled,Kick,Opendoor,,8.3,12.76,Downsizing,Yes,Sophia Williams
 ,Pending,Broker,No,3.43,6.31,Job Transfer,Yes,Emily Patel
Accepted Offer,Null,Opendoor,,11.4,11.58,,Yes,Priya Sharma
Reviewed,Closed,Internal,Yes,11.72,16.17,,No,Jessica Lin
Accepted Offer,Pend,Auction.com,No,6.46,10.82,,Yes,Jason Miller
Closed,Closed,MLS,No,11.53,13.56,Job Transfer,,David Thompson
Cancelled,Kick,Auction.com,,8.16,18.66,Downsizing,No,Sophia Williams
New,Always Kick,Internal,Yes,3.56,19.19,Downsizing,No,Emily Patel
Null,Available,Broker,,6.69,11.63,,Yes,Priya Sharma
 ,Null,Internal,No,4.61,15.69,Investor Sale,No,Amit Kumar
New,Null,Bulk,No,5.72,12.26,Job Transfer,,Amit Kumar
Cancelled,Kick,Opendoor,Yes,9.82,6.02,,No,Sophia Williams
Null,Cancelled,M L S,Yes,3.58,5.02,,,Sophia Williams
New,Cancelled,Broker,,5.49,12.38,,,Emily Patel
Null,Always Kick,Opendoor,No,5.88,6.56,Investor Sale,No,Jessica Lin
Accepted Offer,Available,MLS,Yes,4.94,10.41,Investor Sale,,David Thompson
Null, ,MLS,Yes,3.85,14.85,Job Transfer,No,Michael Chen
Reviewed,Pending,MLS,,11.13,6.48,Downsizing,,Sophia Williams
Cancelled,Closed,Opendoor,Yes,11.85,7.23,Downsizing,,Jason Miller
Null,Cancelled,Internal,Yes,10.2,15.41,Investor Sale,,Michael Chen
Offered,Always Kick,M L S,,4.35,6.95,Downsizing,,Michael Chen
Reviewed,Pending,Internal,No,5.09,15.16,Investor Sale,No,Jessica Lin
Accepted Offer,Close,M L S,Yes,5.56,10.53,,Yes,Samantha Pierce
Reviewed,Null,M L S,No,7.42,11.94,Job Transfer,Yes,Luis Garcia
New, ,Opendoor,,9.86,8.78,Job Transfer,No,Jessica Lin
Closed,Pend,Internal,No,7.65,13.97,Downsizing,Yes,Michael Chen
Reviewed,Pending,MLS,Yes,4.68,9.05,,,Priya Sharma
Reviewed,Close,MLS,Yes,4.23,9.37,,,Sophia Williams
Reviewed,Always Kick,Broker,Yes,4.7,12.51,,No,Luis Garcia
 ,Close,Opendoor,Yes,7.33,17.08,,No,Jason Miller
Null,Closed,Internal,,3.7,15.84,Downsizing,,Emily Patel
Cancelled,Available,MLS,Yes,9.55,5.41,Downsizing,No,Luis Garcia
Cancelled,Available,Internal,No,11.33,14.32,Investor Sale,Yes,Jessica Lin
Reviewed,Pending,Bulk,,8.42,15.6,Downsizing,No,Amit Kumar
 ,Null,Broker,,10.42,15.89,Investor Sale,Yes,Samantha Pierce
Accepted Offer,Close,Bulk,Yes,4.94,17.21,Job Transfer,Yes,Sophia Williams
Closed,Kick,MLS,No,4.89,5.88,,,David Thompson
New,Pending,MLS,,3.76,6.03,,Yes,Samantha Pierce
New,Available,Internal,Yes,6.23,12.66,,No,David Thompson
Accepted Offer,Closed,Broker,Yes,11.42,14.22,,,Samantha Pierce
Reviewed,Cancelled,Internal,No,9.05,5.43,Investor Sale,,Luis Garcia
Cancelled,Close,Internal,Yes,9.58,14.51,Investor Sale,Yes,Jason Miller
Accepted Offer,Kick,Broker,,7.72,12.32,Job Transfer,,Michael Chen
Null,Closed,MLS,Yes,3.58,6.84,Investor Sale,,Michael Chen
 ,Kick,Internal,No,8.31,16.15,,Yes,Michael Chen
Reviewed, ,Auction.com,No,10.19,19.17,,Yes,Priya Sharma
Offered,Pending,MLS,,9.89,5.98,Job Transfer,No,Jessica Lin
Reviewed,Close,MLS,Yes,11.08,16.9,Downsizing,,Luis Garcia
Offered,Available,Bulk,No,4.93,14.28,Downsizing,Yes,Emily Patel
Cancelled,Pend,Internal,No,6.39,9.4,Downsizing,No,Priya Sharma
Cancelled, ,MLS,,7.99,15.06,,No,Emily Patel
Closed,Null,Internal,Yes,8.84,11.36,,,Luis Garcia
Reviewed,Pend,M L S,Yes,11.74,17.02,Investor Sale,Yes,Emily Patel
Closed,Available,MLS,No,6.18,19.57,Downsizing,,Amit Kumar
 , ,Bulk,Yes,3.6,5.84,,Yes,Sophia Williams
 ,Kick,Broker,No,10.3,11.76,Downsizing,,Luis Garcia
 ,Available,Internal,No,7.05,18.85,Investor Sale,Yes,Luis Garcia
Cancelled,Always Kick,Internal,No,6.82,19.83,Downsizing,Yes,David Thompson
New,Cancelled,M L S,No,8.57,9.19,,Yes,Emily Patel
Reviewed,Cancelled,Bulk,No,9.18,5.27,Job Transfer,No,Jessica Lin
Closed,Always Kick,Internal,No,11.26,17.45,,,Michael Chen
Cancelled,Pend,Auction.com,,8.36,15.17,Job Transfer,,Sophia Williams
Closed, ,Auction.com,,10.04,16.74,Investor Sale,Yes,Amit Kumar
Reviewed, ,Opendoor,Yes,3.94,7.38,Downsizing,No,Jason Miller
Reviewed,Pend,Opendoor,No,3.72,9.59,Downsizing,No,Michael Chen
Reviewed,Cancelled,Broker,Yes,9.39,13.55,Investor Sale,No,Sophia Williams
Reviewed,Null,Bulk,Yes,8.79,9.59,Investor Sale,No,Emily Patel
Null, ,Internal,,9.52,14.8,Downsizing,,Priya Sharma
Offered, ,Bulk,No,7.08,14.3,Downsizing,Yes,Amit Kumar
Closed,Pending,MLS,No,8.81,17.83,Investor Sale,,Luis Garcia
Closed,Close,Internal,No,5.77,13.41,Investor Sale,Yes,David Thompson
Accepted Offer,Cancelled,M L S,No,3.31,18.27,Investor Sale,Yes,Sophia Williams
